date,trial_name,host,temp,IDnumber,sex,mark_code,emergence,eclosion,age_days,notes
6/28/18,HxA_W_01,App,W,970,M,WB,8/25/17,6/5/18,23,
6/28/18,HxA_W_01,App,W,1270,M,YR_A,8/28/17,6/11/18,17,"5-16-22: 2 YR males, need instruction (tentatively labelled A and B)"
6/28/18,HxA_W_01,App,W,74,M,YR_B,8/18/17,6/6/18,22,"5-16-22: 2 YR males, need instruction (tentatively labelled A and B)"
6/28/18,HxA_W_01,App,W,13,M,Y,8/16/17,6/6/18,22,
6/28/18,HxA_W_01,App,W,85,M,W,8/18/17,6/6/18,22,
6/28/18,HxA_W_01,Haw,W,408,M,GB,9/25/17,6/6/18,22,
6/28/18,HxA_W_01,Haw,W,934,M,C,9/28/17,6/7/18,21,
6/28/18,HxA_W_01,Haw,W,1099,M,B,9/29/17,6/1/18,27,
6/28/18,HxA_W_01,Haw,W,945,M,WG,9/28/17,6/8/18,20,
6/28/18,HxA_W_01,Haw,W,1369,M,YB,10/1/17,6/15/18,13,
6/28/18,HxA_W_01,App,W,17,F,WY,8/16/17,6/4/18,24,
6/28/18,HxA_W_01,App,W,33,F,CY1,8/17/17,6/16/18,12,2 CY App Females. No mating interactions during trial
6/28/18,HxA_W_01,App,W,58,F,CB,8/17/17,6/2/18,26,
6/28/18,HxA_W_01,App,W,331,F,CY2,8/20/17,6/3/18,25,2 CY App Females. No mating interactions during trial
6/28/18,HxA_W_01,App,W,1704,F,WC,9/6/17,6/3/18,25,
6/28/18,HxA_W_01,App,W,343,F,R,8/20/17,6/5/18,23,
6/28/18,HxA_W_01,Haw,W,625,F,CP,9/26/17,6/3/18,25,
6/28/18,HxA_W_01,Haw,W,1029,F,GP,9/29/17,6/2/18,26,
6/28/18,HxA_W_01,Haw,W,603,F,G,9/26/17,6/18/18,10,
6/28/18,HxA_W_01,Haw,W,1383,F,CG,10/2/17,6/4/18,24,
6/28/18,HxA_W_01,Haw,W,257,F,YG,9/24/17,6/4/18,24,
6/25/18,HxA_W_03,Haw,W,525,F,GR,9/26/17,6/7/18,18,
6/25/18,HxA_W_03,Haw,W,415,F,R,9/25/17,6/7/18,18,
6/25/18,HxA_W_03,Haw,W,1204,F,CB,9/30/17,6/7/18,18,
6/25/18,HxA_W_03,Haw,W,1136,F,C,9/29/17,6/9/18,16,
6/25/18,HxA_W_03,Haw,W,685,F,G,9/27/17,6/8/18,17,
6/25/18,HxA_W_03,Haw,W,60,M,YR,9/21/17,6/14/18,11,
6/25/18,HxA_W_03,Haw,W,252,M,CG,9/24/17,6/14/18,11,
6/25/18,HxA_W_03,Haw,W,901,M,CY,9/28/17,6/14/18,11,
6/25/18,HxA_W_03,Haw,W,1142,M,WG,9/29/17,6/14/18,11,
6/25/18,HxA_W_03,Haw,W,424,M,YB,9/25/17,6/14/18,11,
6/25/18,HxA_W_03,App,W,1468,F,WR,8/30/17,6/7/18,18,
6/25/18,HxA_W_03,App,W,1077,F,GB,8/26/17,6/7/18,18,
6/25/18,HxA_W_03,App,W,230,F,WC,8/19/17,6/7/18,18,
6/25/18,HxA_W_03,App,W,156,F,WB,8/19/17,6/7/18,18,
6/25/18,HxA_W_03,App,W,252,M,B,8/18/17,6/13/18,12,
6/25/18,HxA_W_03,App,W,1016,M,YG,8/25/17,6/8/18,17,
6/25/18,HxA_W_03,App,W,23,M,W,8/17/17,6/9/18,16,
6/25/18,HxA_W_03,App,W,1284,M,Y,8/29/17,6/10/18,15,
6/28/18,HxA_W_04,App,W,125,M,C,8/18/17,6/10/18,18,
6/28/18,HxA_W_04,App,W,65,M,YG,8/17/17,6/10/18,18,
6/28/18,HxA_W_04,App,W,1588,M,GR,9/1/17,6/12/18,16,
6/28/18,HxA_W_04,App,W,563,M,CG,8/22/17,6/12/18,16,
6/28/18,HxA_W_04,App,W,1164,M,G,8/27/17,6/13/18,15,
6/28/18,HxA_W_04,Haw,W,524,M,WY,9/26/17,6/15/18,13,
6/28/18,HxA_W_04,Haw,W,683,M,R,9/27/17,6/15/18,13,
6/28/18,HxA_W_04,Haw,W,285,M,WC,9/24/17,6/15/18,13,
6/28/18,HxA_W_04,Haw,W,265,M,CB,9/24/17,6/17/18,11,
6/28/18,HxA_W_04,Haw,W,903,M,CY,9/28/17,6/16/18,12,
6/28/18,HxA_W_04,App,W,1013,F,YB,8/25/17,6/8/18,20,
6/28/18,HxA_W_04,App,W,36,F,C,8/17/17,6/7/18,21,
6/28/18,HxA_W_04,App,W,590,F,WG,8/22/17,6/7/18,21,
6/28/18,HxA_W_04,App,W,428,F,GB,8/21/17,6/7/18,21,
6/28/18,HxA_W_04,App,W,487,F,B,8/21/17,6/7/18,21,
6/28/18,HxA_W_04,Haw,W,509,F,YR,9/26/17,6/8/18,20,
6/28/18,HxA_W_04,Haw,W,186,F,W,9/23/17,6/8/18,20,
6/28/18,HxA_W_04,Haw,W,1110,F,WB,9/29/17,6/9/18,19,
6/28/18,HxA_W_04,Haw,W,1220,F,WR,9/30/17,6/9/18,19,
6/28/18,HxA_W_04,Haw,W,1346,F,Y,10/1/17,6/9/18,19,
7/10/18,HxA_W_06,Haw,W,616,M,CB,9/26/17,6/18/18,22,
7/10/18,HxA_W_06,Haw,W,610,M,CY,9/26/17,6/18/18,22,
7/10/18,HxA_W_06,Haw,W,670,M,YR,9/27/17,6/20/18,20,
7/10/18,HxA_W_06,Haw,W,824,M,B,9/27/17,6/20/18,20,
7/10/18,HxA_W_06,App,W,971,M,GB,8/25/17,6/14/18,26,
7/10/18,HxA_W_06,App,W,52,M,CR,8/17/17,6/14/18,26,
7/10/18,HxA_W_06,App,W,474,M,Y,8/21/17,6/14/18,26,
7/10/18,HxA_W_06,App,W,195,M,R,8/19/17,6/13/18,27,
7/10/18,HxA_W_06,App,W,197,M,YB,8/19/17,6/7/18,33,
7/10/18,HxA_W_06,Haw,W,639,F,WB,9/26/17,6/11/18,29,
7/10/18,HxA_W_06,Haw,W,18,F,CG,9/21/17,6/12/18,28,
7/10/18,HxA_W_06,Haw,W,1117,F,WR,9/29/17,6/12/18,28,
7/10/18,HxA_W_06,Haw,W,708,F,W,9/27/17,6/12/18,28,
7/10/18,HxA_W_06,Haw,W,217,F,YG,9/24/17,6/13/18,27,
7/10/18,HxA_W_06,App,W,305,F,G,8/20/17,6/5/18,35,
7/10/18,HxA_W_06,App,W,314,F,YB,8/20/17,6/13/18,27,
7/10/18,HxA_W_06,App,W,1628,F,WY,9/3/17,6/11/18,29,
7/10/18,HxA_W_06,App,W,660,F,C,8/22/17,6/16/18,24,
7/10/18,HxA_W_06,App,W,1188,F,GR,8/27/17,6/6/18,34,
7/16/18,HxA_W_09,Haw,W,916,F,WY,9/28/17,6/24/18,22,
7/16/18,HxA_W_09,Haw,W,701,F,CR,9/27/17,6/25/18,21,
7/16/18,HxA_W_09,Haw,W,1150,F,C,9/30/17,6/25/18,21,
7/16/18,HxA_W_09,Haw,W,1284,F,G,9/30/17,6/25/18,21,
7/16/18,HxA_W_09,Haw,W,1094,F,Y,9/29/17,6/25/18,21,
7/16/18,HxA_W_09,App,W,342,F,W,8/20/17,6/16/18,30,
7/16/18,HxA_W_09,App,W,51,F,CY,8/17/17,6/16/18,30,
7/16/18,HxA_W_09,App,W,1659,F,CG,9/4/17,6/16/18,30,
7/16/18,HxA_W_09,App,W,408,F,YR,8/21/17,6/16/18,30,
7/16/18,HxA_W_09,App,W,645,F,CB,8/22/17,6/6/18,40,
7/16/18,HxA_W_09,Haw,W,1403,M,GR,10/2/17,6/29/18,17,
7/16/18,HxA_W_09,Haw,W,1093,M,B,9/29/17,7/1/18,15,
7/16/18,HxA_W_09,Haw,W,997,M,WB,9/28/17,7/1/18,15,
7/16/18,HxA_W_09,Haw,W,568,M,YG,9/26/17,7/1/18,15,
7/16/18,HxA_W_09,Haw,W,163,M,W,9/23/17,6/29/18,17,
7/16/18,HxA_W_09,App,W,1382,M,YB,8/29/17,6/24/18,22,
7/16/18,HxA_W_09,App,W,203,M,WG,8/19/17,6/16/18,30,
7/16/18,HxA_W_09,App,W,641,M,R,8/22/17,6/16/18,30,
7/16/18,HxA_W_09,App,W,266,M,GB,8/19/17,6/16/18,30,
7/16/18,HxA_W_09,App,W,696,M,CR,8/23/17,6/28/18,18,
7/16/18,HxA_W_08,Haw,W,907,F,GB,9/28/17,6/22/18,24,
7/16/18,HxA_W_08,Haw,W,1255,F,WC1,9/30/17,6/21/18,25,"5-16-22: 2 WC females, did not mate"
7/16/18,HxA_W_08,Haw,W,1132,F,R,9/29/17,6/21/18,25,
7/16/18,HxA_W_08,Haw,W,151,F,CR,9/23/17,6/20/18,26,
7/16/18,HxA_W_08,Haw,W,1048,F,Y,9/29/17,6/20/18,26,
7/16/18,HxA_W_08,App,W,496,F,GR,8/21/17,6/16/18,30,
7/16/18,HxA_W_08,App,W,1400,F,CB,8/30/17,6/15/18,31,
7/16/18,HxA_W_08,App,W,1186,F,C,8/27/17,6/16/18,30,
7/16/18,HxA_W_08,App,W,527,F,G,8/22/17,6/28/18,18,
7/16/18,HxA_W_08,App,W,692,F,WB,8/23/17,6/23/18,23,
7/16/18,HxA_W_08,App,W,1361,F,WC2,8/29/17,6/16/18,30,"5-16-22: 2 WC females, did not mate"
7/16/18,HxA_W_08,Haw,W,854,M,G,9/27/17,6/25/18,21,
7/16/18,HxA_W_08,Haw,W,473,M,C,9/25/17,6/26/18,20,
7/16/18,HxA_W_08,Haw,W,598,M,YB,9/26/17,6/3/18,43,
7/16/18,HxA_W_08,Haw,W,1408,M,WB1,10/2/17,7/3/18,13,2 WB Males. No matings occurred.
7/16/18,HxA_W_08,Haw,W,94,M,GR,9/22/17,6/27/18,19,
7/16/18,HxA_W_08,App,W,1032,M,WR,8/25/17,6/15/18,31,
7/16/18,HxA_W_08,App,W,228,M,CG,8/19/17,6/15/18,31,
7/16/18,HxA_W_08,App,W,757,M,WB2,8/23/17,6/22/18,24,2 WB Males. No matings occurred.
7/16/18,HxA_W_08,App,W,24,M,YG,8/17/17,6/22/18,24,
7/16/18,HxA_W_08,App,W,254,M,W,8/19/17,6/22/18,24,
7/18/18,HxA_W_12,Haw,W,1286,M,WB,9/30/17,7/6/18,12,
7/18/18,HxA_W_12,Haw,W,7,M,YB,9/20/17,7/6/18,12,
7/18/18,HxA_W_12,Haw,W,549,M,CY,9/26/17,7/6/18,12,
7/18/18,HxA_W_12,Haw,W,667,M,GB,9/27/17,7/5/18,13,
7/18/18,HxA_W_12,Haw,W,780,M,R,9/27/17,7/1/18,17,
7/18/18,HxA_W_12,App,W,1387,M,GR,8/29/17,7/1/18,17,
7/18/18,HxA_W_12,App,W,942,M,WY,.,6/30/18,18,
7/18/18,HxA_W_12,App,W,92,M,W,.,6/30/18,18,
7/18/18,HxA_W_12,App,W,153,M,YG,.,6/30/18,18,
7/18/18,HxA_W_12,App,W,1600,M,WC,.,6/30/18,18,
7/18/18,HxA_W_12,Haw,W,826,F,B,9/27/17,6/29/18,19,
7/18/18,HxA_W_12,Haw,W,1218,F,CR,9/30/17,6/29/18,19,
7/18/18,HxA_W_12,Haw,W,1357,F,YR,10/1/17,6/29/18,19,
7/18/18,HxA_W_12,Haw,W,400,F,C,9/25/17,6/29/18,19,
7/18/18,HxA_W_12,Haw,W,635,F,WG,9/26/17,6/29/18,19,
7/18/18,HxA_W_12,App,W,747,F,G,8/23/17,7/3/18,15,
7/18/18,HxA_W_12,App,W,1360,F,R,8/29/17,7/3/18,15,
7/18/18,HxA_W_12,App,W,513,F,CG,8/22/17,6/30/18,18,
7/18/18,HxA_W_12,App,W,436,F,CB,8/21/17,6/28/18,20,
7/18/18,HxA_W_12,App,W,406,F,Y,8/21/17,6/28/18,20,
7/18/18,HxA_W_11,App,W,955,F,GB,8/25/17,6/25/18,23,
7/18/18,HxA_W_11,App,W,243,F,C,8/19/17,6/6/18,42,
7/18/18,HxA_W_11,App,W,1351,F,CB,8/29/17,6/16/18,32,
7/18/18,HxA_W_11,App,W,491,F,Y,8/21/17,6/16/18,32,
7/18/18,HxA_W_11,App,W,1604,F,CY,9/2/17,6/16/18,32,
7/18/18,HxA_W_11,Haw,W,989,F,WC,9/28/17,6/28/18,20,
7/18/18,HxA_W_11,Haw,W,406,F,YG,9/25/17,6/28/18,20,
7/18/18,HxA_W_11,Haw,W,1148,F,WY,9/29/17,6/28/18,20,
7/18/18,HxA_W_11,Haw,W,231,F,GR,9/24/17,6/28/18,20,
7/18/18,HxA_W_11,Haw,W,748,F,W,9/27/17,6/28/18,20,
7/18/18,HxA_W_11,App,W,150,M,CR,8/19/17,7/5/18,13,
7/18/18,HxA_W_11,App,W,709,M,YR1,8/23/17,6/29/18,19,"Two YR males, could distinguish by shape of paint spots"
7/18/18,HxA_W_11,App,W,1180,M,G,8/27/17,6/28/18,20,
7/18/18,HxA_W_11,App,W,72,M,WG,8/18/17,6/29/18,19,
7/18/18,HxA_W_11,App,W,1138,M,YR2,8/27/17,6/16/18,32,"Two YR males, could distinguish by shape of paint spots"
7/18/18,HxA_W_11,Haw,W,102,M,CG,9/22/17,7/2/18,16,
7/18/18,HxA_W_11,Haw,W,1054,M,CB,9/29/17,7/2/18,16,
7/18/18,HxA_W_11,Haw,W,1170,M,GB,9/30/17,7/2/18,16,
7/18/18,HxA_W_11,Haw,W,909,M,YB,9/28/17,7/3/18,15,
7/18/18,HxA_W_11,Haw,W,174,M,CY,9/22/17,7/3/18,15,
7/23/18,HxA_W_14,Haw,W,323,F,C,9/24/17,7/1/18,22,
7/23/18,HxA_W_14,Haw,W,1037,F,YR,9/29/17,7/1/18,22,
7/23/18,HxA_W_14,Haw,W,472,F,CR,9/25/17,7/2/18,21,
7/23/18,HxA_W_14,Haw,W,591,F,WG,9/26/17,7/2/18,21,
7/23/18,HxA_W_14,Haw,W,825,F,B,9/27/17,7/2/18,21,
7/23/18,HxA_W_14,App,W,398,F,CB,8/21/17,7/2/18,21,
7/23/18,HxA_W_14,App,W,530,F,CG,8/22/17,7/2/18,21,
7/23/18,HxA_W_14,App,W,1472,F,Y,8/30/17,7/2/18,21,
7/23/18,HxA_W_14,App,W,1476,F,G,8/30/17,7/8/18,15,
7/23/18,HxA_W_14,Haw,W,601,M,WR,9/26/17,7/5/18,18,
7/23/18,HxA_W_14,Haw,W,306,M,WB,9/24/17,7/5/18,18,
7/23/18,HxA_W_14,Haw,W,286,M,GB,9/24/17,7/5/18,18,
7/23/18,HxA_W_14,Haw,W,462,M,Y,9/25/17,7/8/18,15,
7/23/18,HxA_W_14,App,W,1257,M,W1,8/28/17,7/2/18,21,Two W males. No mating occurrences. 
7/23/18,HxA_W_14,App,W,1717,M,WC,9/6/17,7/2/18,21,
7/23/18,HxA_W_14,App,W,658,M,GR,8/22/17,7/3/18,20,
7/23/18,HxA_W_14,App,W,635,M,YG,8/22/17,7/5/18,18,
7/23/18,HxA_W_14,App,W,1219,M,W2,8/27/17,7/6/18,17,Two W males. No mating occurrences. 
7/23/18,HxA_W_15,Haw,W,571,M,CB,9/26/17,7/6/18,17,
7/23/18,HxA_W_15,Haw,W,1104,M,CY,9/29/17,7/6/18,17,
7/23/18,HxA_W_15,Haw,W,1302,M,Y,10/1/17,7/6/18,17,
7/23/18,HxA_W_15,Haw,W,849,M,YR,9/27/17,7/6/18,17,
7/23/18,HxA_W_15,Haw,W,77,M,GR,9/22/17,7/6/18,17,
7/23/18,HxA_W_15,App,W,593,M,WG,8/22/17,7/10/18,13,
7/23/18,HxA_W_15,App,W,1421,M,WB1,8/30/17,7/6/18,17,"Two WB males, could distinguish by shape of paint spots"
7/23/18,HxA_W_15,App,W,564,M,WB2,8/22/17,7/5/18,18,"Two WB males, could distinguish by shape of paint spots"
7/23/18,HxA_W_15,App,W,1492,M,CG,8/31/17,7/5/18,18,
7/23/18,HxA_W_15,App,W,448,M,CR,8/21/17,7/5/18,18,
7/23/18,HxA_W_15,Haw,W,970,F,WR,9/28/17,7/5/18,18,
7/23/18,HxA_W_15,Haw,W,634,F,W,9/26/17,7/2/18,21,
7/23/18,HxA_W_15,Haw,W,933,F,R,9/28/17,7/2/18,21,
7/23/18,HxA_W_15,Haw,W,480,F,B,9/26/17,7/2/18,21,
7/23/18,HxA_W_15,Haw,W,1381,F,C,10/2/17,7/4/18,19,
7/23/18,HxA_W_15,App,W,1692,F,YG,9/5/17,7/4/18,19,
7/23/18,HxA_W_15,App,W,283,F,G,8/20/17,7/4/18,19,
7/23/18,HxA_W_15,App,W,1226,F,YB,8/28/17,7/5/18,18,
7/23/18,HxA_W_15,App,W,138,F,WC,8/19/17,7/5/18,18,
7/23/18,HxA_W_15,App,W,901,F,WY,8/24/17,7/5/18,18,
7/23/18,HxA_W_13,Haw,W,656,M,CB,9/27/17,7/4/18,19,
7/23/18,HxA_W_13,Haw,W,990,M,G,9/28/17,7/4/18,19,
7/23/18,HxA_W_13,Haw,W,1259,M,CG,9/30/17,7/3/18,20,
7/23/18,HxA_W_13,Haw,W,235,M,Y,9/24/17,7/3/18,20,
7/23/18,HxA_W_13,Haw,W,409,M,R,9/25/17,7/5/18,18,
7/23/18,HxA_W_13,App,W,887,M,WG,8/24/17,7/3/18,20,
7/23/18,HxA_W_13,App,W,1391,M,B,8/29/17,7/3/18,20,
7/23/18,HxA_W_13,App,W,1622,M,C,9/2/17,7/1/18,22,
7/23/18,HxA_W_13,App,W,20,M,CR,8/16/17,7/1/18,22,
7/23/18,HxA_W_13,App,W,1433,M,YR,8/30/17,7/1/18,22,
7/23/18,HxA_W_13,Haw,W,1041,F,GR,9/29/17,6/30/18,23,
7/23/18,HxA_W_13,Haw,W,386,F,WG,9/25/17,6/30/18,23,
7/23/18,HxA_W_13,Haw,W,169,F,W,9/23/17,6/30/18,23,
7/23/18,HxA_W_13,Haw,W,329,F,WY,9/24/17,7/1/18,22,
7/23/18,HxA_W_13,Haw,W,1266,F,WC,9/30/17,7/1/18,22,
7/23/18,HxA_W_13,App,W,1602,F,GB,9/2/17,7/3/18,20,
7/23/18,HxA_W_13,App,W,991,F,YB,8/25/17,7/3/18,20,
7/23/18,HxA_W_13,App,W,307,F,WR,8/20/17,7/3/18,20,
7/23/18,HxA_W_13,App,W,146,F,WB,8/19/17,7/1/18,22,
7/23/18,HxA_W_13,App,W,1496,F,CY,8/31/17,7/1/18,22,
7/25/18,HxA_W_17,Haw,W,704,F,B,9/27/17,7/5/18,20,
7/25/18,HxA_W_17,Haw,W,820,F,WG,9/27/17,7/5/18,20,
7/25/18,HxA_W_17,Haw,W,1268,F,YR,9/30/17,7/5/18,20,
7/25/18,HxA_W_17,Haw,W,1146,F,C,9/29/17,7/5/18,20,
7/25/18,HxA_W_17,Haw,W,532,F,CR,9/26/17,7/5/18,20,
7/25/18,HxA_W_17,Haw,W,307,F,GB,9/24/17,7/11/18,14,
7/25/18,HxA_W_17,App,W,792,F,CB,8/23/17,7/6/18,19,
7/25/18,HxA_W_17,App,W,1411,F,Y,8/30/17,7/5/18,20,
7/25/18,HxA_W_17,App,W,1611,F,G,9/2/17,7/5/18,20,
7/25/18,HxA_W_17,App,W,622,F,R,8/22/17,7/5/18,20,
7/25/18,HxA_W_17,App,W,1322,F,CG,8/29/17,7/5/18,20,
7/25/18,HxA_W_17,Haw,W,404,M,GR,9/25/17,7/8/18,17,
7/25/18,HxA_W_17,Haw,W,758,M,W,9/27/17,7/8/18,17,
7/25/18,HxA_W_17,Haw,W,650,M,CG,9/27/17,7/8/18,17,
7/25/18,HxA_W_17,Haw,W,109,M,CR,9/22/17,7/7/18,18,
7/25/18,HxA_W_17,App,W,1549,M,YR,8/31/17,7/8/18,17,
7/25/18,HxA_W_17,App,W,1696,M,WY,9/5/17,7/8/18,17,
7/25/18,HxA_W_17,App,W,470,M,WC,8/21/17,7/8/18,17,
7/25/18,HxA_W_17,App,W,1507,M,C,8/31/17,7/8/18,17,
7/25/18,HxA_W_17,App,W,867,M,WB,8/24/17,7/8/18,17,
7/25/18,HxA_W_16,Haw,W,388,F,CB,9/25/17,7/8/18,17,
7/25/18,HxA_W_16,Haw,W,969,F,WG,9/28/17,7/8/18,17,
7/25/18,HxA_W_16,Haw,W,872,F,G,9/28/17,7/8/18,17,
